electrode,x,y,z,w,h,d,default,all,bank0,double_length,bank1,bank2,bank3,bank4
86.0,-30.0,845.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
87.0,2.0,845.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
88.0,-30.0,860.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
89.0,2.0,860.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
90.0,-30.0,875.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
91.0,2.0,875.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
92.0,-30.0,890.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
93.0,2.0,890.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
94.0,-30.0,905.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
95.0,2.0,905.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
96.0,-30.0,920.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
97.0,2.0,920.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
98.0,-30.0,935.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
99.0,2.0,935.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,-30.0,950.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
101.0,2.0,950.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
102.0,-30.0,965.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
103.0,2.0,965.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
104.0,-30.0,980.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
105.0,2.0,980.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
106.0,-30.0,995.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
107.0,2.0,995.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
108.0,-30.0,1010.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
109.0,2.0,1010.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
110.0,-30.0,1025.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
111.0,2.0,1025.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
112.0,-30.0,1040.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
113.0,2.0,1040.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
114.0,-30.0,1055.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
115.0,2.0,1055.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
116.0,-30.0,1070.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
117.0,2.0,1070.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
118.0,-30.0,1085.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
119.0,2.0,1085.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
120.0,-30.0,1100.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
121.0,2.0,1100.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
122.0,-30.0,1115.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
123.0,2.0,1115.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
124.0,-30.0,1130.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
125.0,2.0,1130.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
126.0,-30.0,1145.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
127.0,2.0,1145.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
128.0,-30.0,1160.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
129.0,2.0,1160.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
130.0,-30.0,1175.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
131.0,2.0,1175.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
132.0,-30.0,1190.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
133.0,2.0,1190.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
134.0,-30.0,1205.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
135.0,2.0,1205.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
136.0,-30.0,1220.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
137.0,2.0,1220.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
138.0,-30.0,1235.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
139.0,2.0,1235.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
140.0,-30.0,1250.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
141.0,2.0,1250.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
142.0,-30.0,1265.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
143.0,2.0,1265.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
144.0,-30.0,1280.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
