electrode,x,y,z,w,h,d,default,all,bank0,double_length
113.0,18.0,1320.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
114.0,-30.0,1340.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
115.0,2.0,1340.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
116.0,-14.0,1360.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
117.0,18.0,1360.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
118.0,-30.0,1380.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
119.0,2.0,1380.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
120.0,-14.0,1400.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
121.0,18.0,1400.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
122.0,-30.0,1420.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
123.0,2.0,1420.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
124.0,-14.0,1440.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
125.0,18.0,1440.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
126.0,-30.0,1460.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
127.0,2.0,1460.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
128.0,-14.0,1480.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
129.0,18.0,1480.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
130.0,-30.0,1500.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
131.0,2.0,1500.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
132.0,-14.0,1520.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
133.0,18.0,1520.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
134.0,-30.0,1540.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
135.0,2.0,1540.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
136.0,-14.0,1560.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
137.0,18.0,1560.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
138.0,-30.0,1580.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
139.0,2.0,1580.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
140.0,-14.0,1600.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
141.0,18.0,1600.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
142.0,-30.0,1620.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
143.0,2.0,1620.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
144.0,-14.0,1640.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
145.0,18.0,1640.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
146.0,-30.0,1660.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
147.0,2.0,1660.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
148.0,-14.0,1680.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
149.0,18.0,1680.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
150.0,-30.0,1700.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
151.0,2.0,1700.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
152.0,-14.0,1720.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
153.0,18.0,1720.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
154.0,-30.0,1740.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
155.0,2.0,1740.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
156.0,-14.0,1760.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
157.0,18.0,1760.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
158.0,-30.0,1780.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
159.0,2.0,1780.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
160.0,-14.0,1800.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
161.0,18.0,1800.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
162.0,-30.0,1820.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
163.0,2.0,1820.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
164.0,-14.0,1840.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
165.0,18.0,1840.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
166.0,-30.0,1860.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
167.0,2.0,1860.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
168.0,-14.0,1880.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
