electrode,x,y,z,w,h,d,default,all,bank0,double_length
192,-30,1640,0,12,12,24,1,1,1,0
193,2,1640,0,12,12,24,1,1,1,1
194,-30,1655,0,12,12,24,1,1,1,0
195,2,1655,0,12,12,24,1,1,1,1
196,-30,1670,0,12,12,24,1,1,1,0
197,2,1670,0,12,12,24,1,1,1,1
198,-30,1685,0,12,12,24,1,1,1,0
199,2,1685,0,12,12,24,1,1,1,1
200,-30,1700,0,12,12,24,1,1,1,0
201,2,1700,0,12,12,24,1,1,1,1
202,-30,1715,0,12,12,24,1,1,1,0
203,2,1715,0,12,12,24,1,1,1,1
204,-30,1730,0,12,12,24,1,1,1,0
205,2,1730,0,12,12,24,1,1,1,1
206,-30,1745,0,12,12,24,1,1,1,0
207,2,1745,0,12,12,24,1,1,1,1
208,-30,1760,0,12,12,24,1,1,1,0
209,2,1760,0,12,12,24,1,1,1,1
210,-30,1775,0,12,12,24,1,1,1,0
211,2,1775,0,12,12,24,1,1,1,1
212,-30,1790,0,12,12,24,1,1,1,0
213,2,1790,0,12,12,24,1,1,1,1
214,-30,1805,0,12,12,24,1,1,1,0
215,2,1805,0,12,12,24,1,1,1,1
216,-30,1820,0,12,12,24,1,1,1,0
217,2,1820,0,12,12,24,1,1,1,1
218,-30,1835,0,12,12,24,1,1,1,0
219,2,1835,0,12,12,24,1,1,1,1
220,-30,1850,0,12,12,24,1,1,1,0
221,2,1850,0,12,12,24,1,1,1,1
222,-30,1865,0,12,12,24,1,1,1,0
223,2,1865,0,12,12,24,1,1,1,1
224,-30,1880,0,12,12,24,1,1,1,0
225,2,1880,0,12,12,24,1,1,1,1
226,-30,1895,0,12,12,24,1,1,1,0
227,2,1895,0,12,12,24,1,1,1,1
228,-30,1910,0,12,12,24,1,1,1,0
229,2,1910,0,12,12,24,1,1,1,1
230,-30,1925,0,12,12,24,1,1,1,0
231,2,1925,0,12,12,24,1,1,1,1
232,-30,1940,0,12,12,24,1,1,1,0
233,2,1940,0,12,12,24,1,1,1,1
234,-30,1955,0,12,12,24,1,1,1,0
235,2,1955,0,12,12,24,1,1,1,1
236,-30,1970,0,12,12,24,1,1,1,0
237,2,1970,0,12,12,24,1,1,1,1
238,-30,1985,0,12,12,24,1,1,1,0
239,2,1985,0,12,12,24,1,1,1,1
240,-30,2000,0,12,12,24,1,1,1,0
241,2,2000,0,12,12,24,1,1,1,1
242,-30,2015,0,12,12,24,1,1,1,0
243,2,2015,0,12,12,24,1,1,1,1
244,-30,2030,0,12,12,24,1,1,1,0
245,2,2030,0,12,12,24,1,1,1,1
246,-30,2045,0,12,12,24,1,1,1,0
247,2,2045,0,12,12,24,1,1,1,1
248,-30,2060,0,12,12,24,1,1,1,0
249,2,2060,0,12,12,24,1,1,1,1
250,-30,2075,0,12,12,24,1,1,1,0
251,2,2075,0,12,12,24,1,1,1,1
252,-30,2090,0,12,12,24,1,1,1,0
253,2,2090,0,12,12,24,1,1,1,1
254,-30,2105,0,12,12,24,1,1,1,0
255,2,2105,0,12,12,24,1,1,1,1
256,-30,2120,0,12,12,24,1,1,1,0
257,2,2120,0,12,12,24,1,1,1,1
258,-30,2135,0,12,12,24,1,1,1,0
259,2,2135,0,12,12,24,1,1,1,1
260,-30,2150,0,12,12,24,1,1,1,0
261,2,2150,0,12,12,24,1,1,1,1
262,-30,2165,0,12,12,24,1,1,1,0
263,2,2165,0,12,12,24,1,1,1,1
264,-30,2180,0,12,12,24,1,1,1,0
265,2,2180,0,12,12,24,1,1,1,1
266,-30,2195,0,12,12,24,1,1,1,0
267,2,2195,0,12,12,24,1,1,1,1
268,-30,2210,0,12,12,24,1,1,1,0
269,2,2210,0,12,12,24,1,1,1,1
270,-30,2225,0,12,12,24,1,1,1,0
271,2,2225,0,12,12,24,1,1,1,1
272,-30,2240,0,12,12,24,1,1,1,0
273,2,2240,0,12,12,24,1,1,1,1
274,-30,2255,0,12,12,24,1,1,1,0
275,2,2255,0,12,12,24,1,1,1,1
276,-30,2270,0,12,12,24,1,1,1,0
277,2,2270,0,12,12,24,1,1,1,1
278,-30,2285,0,12,12,24,1,1,1,0
279,2,2285,0,12,12,24,1,1,1,1
280,-30,2300,0,12,12,24,1,1,1,0
281,2,2300,0,12,12,24,1,1,1,1
282,-30,2315,0,12,12,24,1,1,1,0
283,2,2315,0,12,12,24,1,1,1,1
284,-30,2330,0,12,12,24,1,1,1,0
285,2,2330,0,12,12,24,1,1,1,1
286,-30,2345,0,12,12,24,1,1,1,0
287,2,2345,0,12,12,24,1,1,1,1
288,-30,2360,0,12,12,24,1,1,1,0
289,2,2360,0,12,12,24,1,1,1,1
290,-30,2375,0,12,12,24,1,1,1,0
291,2,2375,0,12,12,24,1,1,1,1
292,-30,2390,0,12,12,24,1,1,1,0
293,2,2390,0,12,12,24,1,1,1,1
294,-30,2405,0,12,12,24,1,1,1,0
295,2,2405,0,12,12,24,1,1,1,1
296,-30,2420,0,12,12,24,1,1,1,0
297,2,2420,0,12,12,24,1,1,1,1
298,-30,2435,0,12,12,24,1,1,1,0
299,2,2435,0,12,12,24,1,1,1,1
300,-30,2450,0,12,12,24,1,1,1,0
301,2,2450,0,12,12,24,1,1,1,1
302,-30,2465,0,12,12,24,1,1,1,0
303,2,2465,0,12,12,24,1,1,1,1
304,-30,2480,0,12,12,24,1,1,1,0
305,2,2480,0,12,12,24,1,1,1,1
306,-30,2495,0,12,12,24,1,1,1,0
307,2,2495,0,12,12,24,1,1,1,1
308,-30,2510,0,12,12,24,1,1,1,0
309,2,2510,0,12,12,24,1,1,1,1
310,-30,2525,0,12,12,24,1,1,1,0
311,2,2525,0,12,12,24,1,1,1,1
312,-30,2540,0,12,12,24,1,1,1,0
313,2,2540,0,12,12,24,1,1,1,1
314,-30,2555,0,12,12,24,1,1,1,0
315,2,2555,0,12,12,24,1,1,1,1
316,-30,2570,0,12,12,24,1,1,1,0
317,2,2570,0,12,12,24,1,1,1,1
318,-30,2585,0,12,12,24,1,1,1,0
319,2,2585,0,12,12,24,1,1,1,1
320,-30,2600,0,12,12,24,1,1,1,0
321,2,2600,0,12,12,24,1,1,1,1
322,-30,2615,0,12,12,24,1,1,1,0
323,2,2615,0,12,12,24,1,1,1,1
324,-30,2630,0,12,12,24,1,1,1,0
325,2,2630,0,12,12,24,1,1,1,1
326,-30,2645,0,12,12,24,1,1,1,0
327,2,2645,0,12,12,24,1,1,1,1
328,-30,2660,0,12,12,24,1,1,1,0
329,2,2660,0,12,12,24,1,1,1,1
330,-30,2675,0,12,12,24,1,1,1,0
331,2,2675,0,12,12,24,1,1,1,1
332,-30,2690,0,12,12,24,1,1,1,0
333,2,2690,0,12,12,24,1,1,1,1
334,-30,2705,0,12,12,24,1,1,1,0
335,2,2705,0,12,12,24,1,1,1,1
336,-30,2720,0,12,12,24,1,1,1,0
337,2,2720,0,12,12,24,1,1,1,1
338,-30,2735,0,12,12,24,1,1,1,0
339,2,2735,0,12,12,24,1,1,1,1
340,-30,2750,0,12,12,24,1,1,1,0
341,2,2750,0,12,12,24,1,1,1,1
342,-30,2765,0,12,12,24,1,1,1,0
343,2,2765,0,12,12,24,1,1,1,1
344,-30,2780,0,12,12,24,1,1,1,0
345,2,2780,0,12,12,24,1,1,1,1
